CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
42,RELEASING_MEMORY,1774879516.92,63.74,949.2,✓ SUCCESS,Releasing allocated memory
42,COMPLETED,1774879516.92,63.74,949.2,✓ SUCCESS,Finished successfully
43,STARTING,1774879458.19,0.00,1423.8,✓ SUCCESS,Process being launched
43,ALLOCATING_MEMORY,1774879458.19,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
43,RUNNING,1774879458.19,0.00,1423.8,✓ SUCCESS,Active execution on GPU
43,RELEASING_MEMORY,1774879521.90,63.71,1423.8,✓ SUCCESS,Releasing allocated memory
43,COMPLETED,1774879521.90,63.71,1423.8,✓ SUCCESS,Finished successfully
44,STARTING,1774879516.92,0.00,2135.7,✓ SUCCESS,Process being launched
44,ALLOCATING_MEMORY,1774879516.92,0.00,2135.7,✓ SUCCESS,GPU memory being allocated
44,RUNNING,1774879516.92,0.00,2135.7,✓ SUCCESS,Active execution on GPU
44,RELEASING_MEMORY,1774879580.65,63.73,2135.7,✓ SUCCESS,Releasing allocated memory
44,COMPLETED,1774879580.65,63.73,2135.7,✓ SUCCESS,Finished successfully
45,STARTING,1774879580.65,0.00,3203.6,✓ SUCCESS,Process being launched
45,ALLOCATING_MEMORY,1774879580.65,0.00,3203.6,✓ SUCCESS,GPU memory being allocated
45,RUNNING,1774879580.65,0.00,3203.6,✓ SUCCESS,Active execution on GPU
45,RELEASING_MEMORY,1774879644.49,63.84,3203.6,✓ SUCCESS,Releasing allocated memory
45,COMPLETED,1774879644.49,63.84,3203.6,✓ SUCCESS,Finished successfully
46,STARTING,1774879583.35,0.00,125.0,✓ SUCCESS,Process being launched
46,ALLOCATING_MEMORY,1774879583.35,0.00,125.0,✓ SUCCESS,GPU memory being allocated
46,RUNNING,1774879583.35,0.00,125.0,✓ SUCCESS,Active execution on GPU
46,RELEASING_MEMORY,1774879647.07,63.73,125.0,✓ SUCCESS,Releasing allocated memory
46,COMPLETED,1774879647.07,63.73,125.0,✓ SUCCESS,Finished successfully
47,STARTING,1774879588.35,0.00,187.5,✓ SUCCESS,Process being launched
47,ALLOCATING_MEMORY,1774879588.35,0.00,187.5,✓ SUCCESS,GPU memory being allocated
47,RUNNING,1774879588.35,0.00,187.5,✓ SUCCESS,Active execution on GPU
47,RELEASING_MEMORY,1774879652.13,63.78,187.5,✓ SUCCESS,Releasing allocated memory
47,COMPLETED,1774879652.13,63.78,187.5,✓ SUCCESS,Finished successfully
48,STARTING,1774879648.44,0.00,281.2,✓ SUCCESS,Process being launched
