DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),125.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (dynamic)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
1310,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1315,3,"C64, C65, C66",593.8,14.50%,3502.2,NO,Max parallel
1320,3,"C65, C66, C67",593.8,14.50%,3502.2,NO,Max parallel
1325,3,"C66, C67, C68",593.8,14.50%,3502.2,NO,Max parallel
1330,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1335,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1340,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1345,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1350,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1355,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1360,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1365,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1370,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1375,3,"C67, C68, C69",593.8,14.50%,3502.2,NO,Max parallel
1380,3,"C68, C69, C70",593.8,14.50%,3502.2,NO,Max parallel
1385,3,"C69, C70, C71",593.8,14.50%,3502.2,NO,Max parallel
1390,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1395,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1400,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1405,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1410,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1415,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1420,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1425,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1430,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1435,3,"C70, C71, C72",593.8,14.50%,3502.2,NO,Max parallel
1440,3,"C71, C72, C73",593.8,14.50%,3502.2,NO,Max parallel
1445,3,"C72, C73, C74",593.8,14.50%,3502.2,NO,Max parallel
1450,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1455,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1460,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1465,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1470,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1475,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1480,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
