COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
1774878680.94,2,"C15, C16",2373.0,57.94%,1723.0,LAUNCH
1774878735.93,1,C16,1423.8,34.76%,2672.2,LAUNCH
1774878735.93,2,"C16, C17",3559.6,86.90%,536.4,LAUNCH
1774878740.99,1,C17,2135.7,52.14%,1960.3,LAUNCH
1774878799.76,1,C18,3203.6,78.21%,892.4,LAUNCH
1774878802.42,2,"C18, C19",3328.6,81.26%,767.4,LAUNCH
1774878807.43,3,"C18, C19, C20",3516.1,85.84%,579.9,LAUNCH
1774878863.40,2,"C19, C20",312.5,7.63%,3783.5,LAUNCH
1774878866.17,1,C20,187.5,4.58%,3908.5,LAUNCH
1774878867.48,2,"C20, C21",468.8,11.44%,3627.2,LAUNCH
1774878871.14,1,C21,281.2,6.87%,3814.8,LAUNCH
1774878872.48,2,"C21, C22",703.1,17.17%,3392.9,LAUNCH
1774878877.49,3,"C21, C22, C23",1335.9,32.62%,2760.1,LAUNCH
1774878931.23,2,"C22, C23",1054.7,25.75%,3041.3,LAUNCH
1774878932.55,3,"C22, C23, C24",2003.9,48.92%,2092.1,LAUNCH
1774878936.18,2,"C23, C24",1582.0,38.62%,2514.0,LAUNCH
1774878937.55,3,"C23, C24, C25",3005.9,73.39%,1090.1,LAUNCH
1774878941.18,2,"C24, C25",2373.0,57.94%,1723.0,LAUNCH
1774878996.30,1,C25,1423.8,34.76%,2672.2,LAUNCH
1774878996.30,2,"C25, C26",3559.6,86.90%,536.4,LAUNCH
1774879001.28,1,C26,2135.7,52.14%,1960.3,LAUNCH
1774879059.94,1,C27,3203.6,78.21%,892.4,LAUNCH
1774879062.68,2,"C27, C28",3328.6,81.26%,767.4,LAUNCH
1774879067.69,3,"C27, C28, C29",3516.1,85.84%,579.9,LAUNCH
1774879123.69,2,"C28, C29",312.5,7.63%,3783.5,LAUNCH
1774879126.42,1,C29,187.5,4.58%,3908.5,LAUNCH
1774879127.76,2,"C29, C30",468.8,11.44%,3627.2,LAUNCH
1774879131.40,1,C30,281.2,6.87%,3814.8,LAUNCH
1774879132.77,2,"C30, C31",703.1,17.17%,3392.9,LAUNCH
1774879137.77,3,"C30, C31, C32",1335.9,32.62%,2760.1,LAUNCH
1774879191.44,2,"C31, C32",1054.7,25.75%,3041.3,LAUNCH
1774879192.84,3,"C31, C32, C33",2003.9,48.92%,2092.1,LAUNCH
1774879196.48,2,"C32, C33",1582.0,38.62%,2514.0,LAUNCH
1774879197.85,3,"C32, C33, C34",3005.9,73.39%,1090.1,LAUNCH
1774879201.42,2,"C33, C34",2373.0,57.94%,1723.0,LAUNCH
1774879256.53,1,C34,1423.8,34.76%,2672.2,LAUNCH
1774879256.53,2,"C34, C35",3559.6,86.90%,536.4,LAUNCH
1774879261.64,1,C35,2135.7,52.14%,1960.3,LAUNCH
1774879320.28,1,C36,3203.6,78.21%,892.4,LAUNCH
1774879323.01,2,"C36, C37",3328.6,81.26%,767.4,LAUNCH
1774879328.02,3,"C36, C37, C38",3516.1,85.84%,579.9,LAUNCH
1774879384.08,2,"C37, C38",312.5,7.63%,3783.5,LAUNCH
1774879386.85,1,C38,187.5,4.58%,3908.5,LAUNCH
1774879388.10,2,"C38, C39",468.8,11.44%,3627.2,LAUNCH
1774879391.81,1,C39,281.2,6.87%,3814.8,LAUNCH
1774879393.10,2,"C39, C40",703.1,17.17%,3392.9,LAUNCH
