MEMORY USAGE TIMELINE
Generated from container execution schedule with dynamic memory model (cycle=3)
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers (dynamic)

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
645,12,"C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
650,12,"C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
655,12,"C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
660,12,"C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
665,12,"C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
670,12,"C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
675,12,"C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
680,12,"C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
685,12,"C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
690,12,"C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
695,12,"C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
700,12,"C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
705,12,"C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
710,12,"C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
715,12,"C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
720,12,"C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
725,12,"C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
730,12,"C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
735,12,"C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
740,12,"C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
745,12,"C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
750,12,"C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
755,12,"C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
760,12,"C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
765,12,"C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
770,12,"C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
775,12,"C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
780,12,"C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
785,12,"C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
790,12,"C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
795,12,"C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
800,12,"C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
805,12,"C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
810,12,"C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
815,12,"C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
820,12,"C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
825,12,"C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
830,12,"C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
835,12,"C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
840,12,"C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
845,12,"C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
850,12,"C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
855,12,"C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
860,12,"C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
865,12,"C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
870,12,"C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
875,12,"C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
880,12,"C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
885,12,"C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
890,12,"C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
895,12,"C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
900,12,"C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
905,12,"C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
910,12,"C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
915,12,"C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
920,12,"C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
925,12,"C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
930,12,"C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
935,12,"C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
940,12,"C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
