timestamp_s,time_hms,active_containers,memory_mb,utilization_percent
27570,07:39:30,3,4094.5,99.96
27600,07:40:00,3,4094.5,99.96
27630,07:40:30,3,4094.5,99.96
27660,07:41:00,3,4094.5,99.96
27690,07:41:30,3,4094.5,99.96
27720,07:42:00,3,4094.5,99.96
27750,07:42:30,3,4094.5,99.96
27780,07:43:00,3,4094.5,99.96
27810,07:43:30,3,4094.5,99.96
27840,07:44:00,3,4094.5,99.96
27870,07:44:30,3,4094.5,99.96
27900,07:45:00,3,4094.5,99.96
27930,07:45:30,3,4094.5,99.96
27960,07:46:00,3,4094.5,99.96
27990,07:46:30,3,4094.5,99.96
28020,07:47:00,3,4094.5,99.96
28050,07:47:30,3,4094.5,99.96
28080,07:48:00,3,4094.5,99.96
28110,07:48:30,3,4094.5,99.96
28140,07:49:00,3,4094.5,99.96
28170,07:49:30,3,4094.5,99.96
28200,07:50:00,3,4094.5,99.96
28230,07:50:30,3,4094.5,99.96
28260,07:51:00,3,4094.5,99.96
28290,07:51:30,3,4094.5,99.96
28320,07:52:00,3,4094.5,99.96
28350,07:52:30,3,4094.5,99.96
28380,07:53:00,3,4094.5,99.96
28410,07:53:30,3,4094.5,99.96
28440,07:54:00,3,4094.5,99.96
28470,07:54:30,3,4094.5,99.96
28500,07:55:00,3,4094.5,99.96
28530,07:55:30,3,4094.5,99.96
28560,07:56:00,3,4094.5,99.96
28590,07:56:30,3,4094.5,99.96
28620,07:57:00,3,4094.5,99.96
28650,07:57:30,3,4094.5,99.96
28680,07:58:00,3,4094.5,99.96
28710,07:58:30,3,4094.5,99.96
28740,07:59:00,3,4094.5,99.96
28770,07:59:30,3,4094.5,99.96
28800,08:00:00,3,4094.5,99.96
28830,08:00:30,3,4094.5,99.96
28860,08:01:00,3,4094.5,99.96
28890,08:01:30,3,4094.5,99.96
28920,08:02:00,3,4094.5,99.96
28950,08:02:30,3,4094.5,99.96
28980,08:03:00,3,4094.5,99.96
29010,08:03:30,3,4094.5,99.96
29040,08:04:00,3,4094.5,99.96
29070,08:04:30,3,4094.5,99.96
29100,08:05:00,3,4094.5,99.96
29130,08:05:30,3,4094.5,99.96
29160,08:06:00,3,4094.5,99.96
29190,08:06:30,3,4094.5,99.96
29220,08:07:00,3,4094.5,99.96
29250,08:07:30,3,4094.5,99.96
29280,08:08:00,3,4094.5,99.96
29310,08:08:30,3,4094.5,99.96
29340,08:09:00,3,4094.5,99.96
29370,08:09:30,3,4094.5,99.96
29400,08:10:00,3,4094.5,99.96
29430,08:10:30,3,4094.5,99.96
29460,08:11:00,3,4094.5,99.96
29490,08:11:30,3,4094.5,99.96
29520,08:12:00,3,4094.5,99.96
29550,08:12:30,3,4094.5,99.96
29580,08:13:00,3,4094.5,99.96
29610,08:13:30,3,4094.5,99.96
29640,08:14:00,3,4094.5,99.96
29670,08:14:30,3,4094.5,99.96
29700,08:15:00,3,4094.5,99.96
29730,08:15:30,3,4094.5,99.96
29760,08:16:00,3,4094.5,99.96
29790,08:16:30,3,4094.5,99.96
29820,08:17:00,3,4094.5,99.96
29850,08:17:30,3,4094.5,99.96
29880,08:18:00,3,4094.5,99.96
29910,08:18:30,3,4094.5,99.96
29940,08:19:00,3,4094.5,99.96
29970,08:19:30,3,4094.5,99.96
30000,08:20:00,3,4094.5,99.96
30030,08:20:30,3,4094.5,99.96
30060,08:21:00,3,4094.5,99.96
30090,08:21:30,3,4094.5,99.96
30120,08:22:00,3,4094.5,99.96
30150,08:22:30,3,4094.5,99.96
30180,08:23:00,3,4094.5,99.96
30210,08:23:30,3,4094.5,99.96
30240,08:24:00,3,4094.5,99.96
30270,08:24:30,3,4094.5,99.96
30300,08:25:00,3,4094.5,99.96
30330,08:25:30,3,4094.5,99.96
30360,08:26:00,3,4094.5,99.96
30390,08:26:30,3,4094.5,99.96
30420,08:27:00,3,4094.5,99.96
30450,08:27:30,3,4094.5,99.96
30480,08:28:00,3,4094.5,99.96
30510,08:28:30,3,4094.5,99.96
30540,08:29:00,3,4094.5,99.96
30570,08:29:30,3,4094.5,99.96
30600,08:30:00,3,4094.5,99.96
30630,08:30:30,3,4094.5,99.96
30660,08:31:00,3,4094.5,99.96
30690,08:31:30,3,4094.5,99.96
30720,08:32:00,3,4094.5,99.96
30750,08:32:30,3,4094.5,99.96
30780,08:33:00,3,4094.5,99.96
30810,08:33:30,3,4094.5,99.96
30840,08:34:00,3,4094.5,99.96
30870,08:34:30,3,4094.5,99.96
30900,08:35:00,3,4094.5,99.96
30930,08:35:30,3,4094.5,99.96
30960,08:36:00,3,4094.5,99.96
30990,08:36:30,3,4094.5,99.96
31020,08:37:00,3,4094.5,99.96
31050,08:37:30,3,4094.5,99.96
31080,08:38:00,3,4094.5,99.96
31110,08:38:30,3,4094.5,99.96
31140,08:39:00,3,4094.5,99.96
31170,08:39:30,3,4094.5,99.96
31200,08:40:00,3,4094.5,99.96
31230,08:40:30,3,4094.5,99.96
31260,08:41:00,3,4094.5,99.96
31290,08:41:30,3,4094.5,99.96
31320,08:42:00,3,4094.5,99.96
31350,08:42:30,3,4094.5,99.96
31380,08:43:00,3,4094.5,99.96
31410,08:43:30,3,4094.5,99.96
31440,08:44:00,3,4094.5,99.96
31470,08:44:30,3,4094.5,99.96
31500,08:45:00,3,4094.5,99.96
31530,08:45:30,3,4094.5,99.96
31560,08:46:00,3,4094.5,99.96
31590,08:46:30,3,4094.5,99.96
31620,08:47:00,3,4094.5,99.96
31650,08:47:30,3,4094.5,99.96
31680,08:48:00,3,4094.5,99.96
31710,08:48:30,3,4094.5,99.96
31740,08:49:00,3,4094.5,99.96
31770,08:49:30,3,4094.5,99.96
31800,08:50:00,3,4094.5,99.96
31830,08:50:30,3,4094.5,99.96
31860,08:51:00,3,4094.5,99.96
31890,08:51:30,3,4094.5,99.96
31920,08:52:00,3,4094.5,99.96
31950,08:52:30,3,4094.5,99.96
31980,08:53:00,3,4094.5,99.96
32010,08:53:30,3,4094.5,99.96
32040,08:54:00,3,4094.5,99.96
32070,08:54:30,3,4094.5,99.96
32100,08:55:00,3,4094.5,99.96
32130,08:55:30,3,4094.5,99.96
32160,08:56:00,3,4094.5,99.96
32190,08:56:30,3,4094.5,99.96
32220,08:57:00,3,4094.5,99.96
32250,08:57:30,3,4094.5,99.96
32280,08:58:00,3,4094.5,99.96
32310,08:58:30,3,4094.5,99.96
32340,08:59:00,3,4094.5,99.96
32370,08:59:30,3,4094.5,99.96
32400,09:00:00,3,4094.5,99.96
32430,09:00:30,3,4094.5,99.96
32460,09:01:00,3,4094.5,99.96
32490,09:01:30,3,4094.5,99.96
32520,09:02:00,3,4094.5,99.96
32550,09:02:30,3,4094.5,99.96
32580,09:03:00,3,4094.5,99.96
32610,09:03:30,3,4094.5,99.96
32640,09:04:00,3,4094.5,99.96
32670,09:04:30,3,4094.5,99.96
32700,09:05:00,3,4094.5,99.96
32730,09:05:30,3,4094.5,99.96
32760,09:06:00,3,4094.5,99.96
32790,09:06:30,3,4094.5,99.96
32820,09:07:00,3,4094.5,99.96
32850,09:07:30,3,4094.5,99.96
32880,09:08:00,3,4094.5,99.96
32910,09:08:30,3,4094.5,99.96
32940,09:09:00,3,4094.5,99.96
32970,09:09:30,3,4094.5,99.96
33000,09:10:00,3,4094.5,99.96
33030,09:10:30,3,4094.5,99.96
33060,09:11:00,3,4094.5,99.96
33090,09:11:30,3,4094.5,99.96
33120,09:12:00,3,4094.5,99.96
33150,09:12:30,3,4094.5,99.96
33180,09:13:00,3,4094.5,99.96
33210,09:13:30,3,4094.5,99.96
33240,09:14:00,3,4094.5,99.96
33270,09:14:30,3,4094.5,99.96
33300,09:15:00,3,4094.5,99.96
33330,09:15:30,3,4094.5,99.96
33360,09:16:00,3,4094.5,99.96
33390,09:16:30,3,4094.5,99.96
33420,09:17:00,3,4094.5,99.96
33450,09:17:30,3,4094.5,99.96
33480,09:18:00,3,4094.5,99.96
33510,09:18:30,3,4094.5,99.96
33540,09:19:00,3,4094.5,99.96
